Metric: PESQ
Processed 1 files
Skipped 0 files

Noise Level Results:
Noise Level 0.00: 4.644
Noise Level 0.01: 4.627
Noise Level 0.02: 4.628
Noise Level 0.03: 4.628
Noise Level 0.04: 4.629
Noise Level 0.05: 4.627
Noise Level 0.06: 4.628
Noise Level 0.07: 4.628
Noise Level 0.08: 4.628
Noise Level 0.09: 4.628
Noise Level 0.10: 4.628
Noise Level 0.11: 4.628
Noise Level 0.12: 4.628
Noise Level 0.13: 4.628
Noise Level 0.14: 4.628
Noise Level 0.15: 4.627
Noise Level 0.16: 4.628
Noise Level 0.17: 4.628
Noise Level 0.18: 4.628
Noise Level 0.19: 4.628
Noise Level 0.20: 4.627
Noise Level 0.21: 4.628
Noise Level 0.22: 4.627
Noise Level 0.23: 4.608
Noise Level 0.24: 4.572
Noise Level 0.25: 4.490
Noise Level 0.26: 4.327
Noise Level 0.27: 4.127
Noise Level 0.28: 3.945
Noise Level 0.29: 3.742
Noise Level 0.30: 3.552
Noise Level 0.31: 3.350
Noise Level 0.32: 3.138
Noise Level 0.33: 2.917
Noise Level 0.34: 2.698
Noise Level 0.35: 2.502
Noise Level 0.36: 2.316
Noise Level 0.37: 2.156
Noise Level 0.38: 2.013
Noise Level 0.39: 1.879
Noise Level 0.40: 1.780
Noise Level 0.41: 1.675
Noise Level 0.42: 1.587
Noise Level 0.43: 1.509
Noise Level 0.44: 1.442
Noise Level 0.45: 1.379
Noise Level 0.46: 1.328
Noise Level 0.47: 1.283
Noise Level 0.48: 1.241
Noise Level 0.49: 1.210
Noise Level 0.50: 1.184
Noise Level 0.51: 1.161
Noise Level 0.52: 1.144
Noise Level 0.53: 1.126
Noise Level 0.54: 1.116
Noise Level 0.55: 1.107
Noise Level 0.56: 1.097
Noise Level 0.57: 1.087
Noise Level 0.58: 1.080
Noise Level 0.59: 1.073
Noise Level 0.60: 1.069
Noise Level 0.61: 1.063
Noise Level 0.62: 1.060
Noise Level 0.63: 1.056
Noise Level 0.64: 1.054
Noise Level 0.65: 1.051
Noise Level 0.66: 1.049
Noise Level 0.67: 1.046
Noise Level 0.68: 1.044
Noise Level 0.69: 1.043
Noise Level 0.70: 1.041
Noise Level 0.71: 1.040
Noise Level 0.72: 1.039
Noise Level 0.73: 1.037
Noise Level 0.74: 1.037
Noise Level 0.75: 1.036
Noise Level 0.76: 1.035
Noise Level 0.77: 1.033
Noise Level 0.78: 1.033
Noise Level 0.79: 1.032
